ParentKey,LineNum,Address,DateOfBirth,E_Mail,Fax,Gender,MobilePhone,Name,Pager,Password,Phone1,Phone2,PlaceOfBirth,Position,Profession,Remarks1,Remarks2,Title
CardCode,LineNum,Address,DateOfBirth,E_Mail,Fax,Gender,MobilePhone,Name,Pager,Password,Phone1,Phone2,PlaceOfBirth,Position,Profession,Remarks1,Remarks2,Title
C003,,An der Hofmark 3,,valerian.adamek@zwei.de,650 FAX IT,,999 CELL PHONE,Valerian Adamek,999 PAGER,Password,650 PHONE1,650 PHONE2,,Purchasing,,Remarks 1,Remarks 2,
C004,,An der Hofmark 4,,adrienne.altmann@gmx.com,0371/680582,,0177 / 9868218,Adrienne Altmann,999 PAGER,Password,0371/680581,,,Purchasing,,Remarks 1,Remarks 2,
C005,,An der Hofmark 5,,christian@t-online.de,06421/830596,,0178 / 8889573,Christian Andresen,999 PAGER,Password,06421/830595,,,CIO,,Remarks 1,Remarks 2,
C006,,An der Hofmark 6,,anton@gmx.com,06131/527018,,0162 / 8625299,Andree Anton,999 PAGER,Password,06131/527017,,,CEO,,Remarks 1,Remarks 2,
C007,,An der Hofmark 7,,martina@web.de,0951/855173,,0177 / 8309544,Martina  Basalyk,,,0951/855172,,,Sales,,,,
C008,,An der Hofmark 8,,,,,,ContactPerson_C008,,,,,,,,,,
C009,,An der Hofmark 9,,,,,,ContactPerson_C009,,,,,,,,,,
C010,,An der Hofmark 10,,,,,,ContactPerson_C010,,,,,,,,,,
C011,,An der Hofmark 11,,,,,,ContactPerson_C011,,,,,,,,,,
C012,,An der Hofmark 12,,,,,,ContactPerson_C012,,,,,,,,,,
C013,,An der Hofmark 13,,,,,,ContactPerson_C013,,,,,,,,,,
C014,,An der Hofmark 14,,,,,,ContactPerson_C014,,,,,,,,,,
C015,,An der Hofmark 15,,,,,,ContactPerson_C015,,,,,,,,,,
C016,,An der Hofmark 16,,,,,,ContactPerson_C016,,,,,,,,,,
C017,,An der Hofmark 17,,,,,,ContactPerson_C017,,,,,,,,,,
C018,,An der Hofmark 18,,,,,,ContactPerson_C018,,,,,,,,,,
C019,,An der Hofmark 19,,,,,,ContactPerson_C019,,,,,,,,,,
C020,,An der Hofmark 20,,,,,,ContactPerson_C020,,,,,,,,,,
C021,,An der Hofmark 21,,,,,,ContactPerson_C021,,,,,,,,,,
C022,,An der Hofmark 22,,,,,,ContactPerson_C022,,,,,,,,,,
C023,,An der Hofmark 23,,,,,,ContactPerson_C023,,,,,,,,,,
C024,,An der Hofmark 24,,,,,,ContactPerson_C024,,,,,,,,,,
C025,,An der Hofmark 25,,,,,,ContactPerson_C025,,,,,,,,,,
C026,,An der Hofmark 26,,,,,,ContactPerson_C026,,,,,,,,,,
C027,,An der Hofmark 27,,,,,,ContactPerson_C027,,,,,,,,,,
C028,,An der Hofmark 28,,,,,,ContactPerson_C028,,,,,,,,,,
C029,,An der Hofmark 29,,,,,,ContactPerson_C029,,,,,,,,,,
C030,,An der Hofmark 30,,,,,,ContactPerson_C030,,,,,,,,,,
C031,,An der Hofmark 31,,,,,,ContactPerson_C031,,,,,,,,,,
C032,,An der Hofmark 32,,,,,,ContactPerson_C032,,,,,,,,,,
C033,,An der Hofmark 33,,,,,,ContactPerson_C033,,,,,,,,,,
C034,,An der Hofmark 34,,,,,,ContactPerson_C034,,,,,,,,,,
C035,,An der Hofmark 35,,,,,,ContactPerson_C035,,,,,,,,,,
C036,,An der Hofmark 36,,,,,,ContactPerson_C036,,,,,,,,,,
C037,,An der Hofmark 37,,,,,,ContactPerson_C037,,,,,,,,,,
C038,,An der Hofmark 38,,,,,,ContactPerson_C038,,,,,,,,,,
C039,,An der Hofmark 39,,,,,,ContactPerson_C039,,,,,,,,,,
C040,,An der Hofmark 40,,,,,,ContactPerson_C040,,,,,,,,,,
